Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,22224.0,22403.0,22207.0,22391.0,22391.0,357352400.0
2017-12-19,22382.0,22455.0,22254.0,22275.0,22275.0,342166700.0
2017-12-20,22335.0,22354.0,22089.0,22110.0,22110.0,309951200.0
2017-12-21,22112.0,22251.0,22000.0,22240.0,22240.0,326107200.0
2017-12-22,22166.0,22249.0,22116.0,22209.0,22209.0,228321600.0
2017-12-27,22257.0,22295.0,22121.0,22201.0,22201.0,221090700.0
2017-12-28,22188.0,22230.0,22098.0,22121.0,22121.0,233072900.0
2017-12-29,22144.0,22154.0,21834.0,21853.0,21853.0,247350500.0
2018-01-02,21899.0,21942.0,21614.0,21845.0,21845.0,317436400.0
2018-01-03,21890.0,21942.0,21719.0,21905.0,21905.0,305355700.0
2018-01-04,22012.0,22573.0,22012.0,22512.0,22512.0,414427700.0
2018-01-05,22548.0,22762.0,22534.0,22762.0,22762.0,319725100.0
2018-01-08,22868.0,22899.0,22705.0,22846.0,22846.0,340037900.0
2018-01-09,22850.0,23056.0,22840.0,23005.0,23005.0,319213500.0
2018-01-10,22979.0,23173.0,22956.0,23157.0,23157.0,522090700.0
2018-01-11,23156.0,23323.0,23130.0,23305.0,23305.0,438755500.0
2018-01-12,23428.0,23475.0,23344.0,23430.0,23430.0,364480900.0
2018-01-15,23459.0,23604.0,23332.0,23544.0,23544.0,286219100.0
2018-01-16,23538.0,23698.0,23443.0,23495.0,23495.0,368334600.0
2018-01-17,23370.0,23555.0,23356.0,23515.0,23515.0,364196600.0
2018-01-18,23580.0,23631.0,23439.0,23631.0,23631.0,374110900.0
2018-01-19,23628.0,23867.0,23603.0,23749.0,23749.0,400942200.0
2018-01-22,23672.0,23896.0,23630.0,23890.0,23890.0,380084400.0
2018-01-23,23985.0,24050.0,23787.0,23837.0,23837.0,363162100.0
2018-01-24,23816.0,23883.0,23623.0,23623.0,23623.0,349422800.0
2018-01-25,23616.0,23818.0,23600.0,23720.0,23720.0,419057300.0
2018-01-26,23725.0,23875.0,23698.0,23857.0,23857.0,311580600.0
2018-01-29,23898.0,23960.0,23774.0,23802.0,23802.0,355320600.0
2018-01-30,23682.0,23799.0,23412.0,23481.0,23481.0,512439200.0
2018-01-31,23505.0,23602.0,23420.0,23507.0,23507.0,377166900.0
2018-02-01,23639.0,23810.0,23436.0,23541.0,23541.0,427286100.0
2018-02-02,23545.0,23562.0,23184.0,23203.0,23203.0,435825900.0
2018-02-05,22916.0,23104.0,22818.0,22822.0,22822.0,464100500.0
2018-02-06,22003.0,22649.0,21982.0,22347.0,22347.0,850479800.0
2018-02-07,22606.0,23009.0,22400.0,22986.0,22986.0,685853900.0
2018-02-08,22875.0,22998.0,22393.0,22467.0,22467.0,618208800.0
2018-02-09,22339.0,22570.0,22042.0,22167.0,22167.0,610368500.0
2018-02-12,22389.0,22513.0,22231.0,22337.0,22337.0,374615400.0
2018-02-13,22335.0,22370.0,22034.0,22034.0,22034.0,375413300.0
2018-02-14,22192.0,22481.0,21908.0,22434.0,22434.0,545386000.0
2018-02-15,22537.0,22736.0,22393.0,22496.0,22496.0,432560900.0
2018-02-16,22717.0,22807.0,22618.0,22798.0,22798.0,338118300.0
2018-02-19,22853.0,22861.0,22569.0,22569.0,22569.0,224609500.0
